file,name,format,subversion,hota_version,size,underground,players_human,players_total,difficulty,victory,object_count,object_detail,definition_count,terrain_variety,water_percent,road_tiles,river_tiles,design_signals,towns,heroes,monsters,economy,artifacts,dwellings,quests,events,travel,banks
[HotA] Blazing Archipelago.h3m,Blazing Archipelago,HotA,9,1.8.0,108,True,,,1,unknown,1941,template-presence,357,5,38.9,11,105,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,1,1,10,10,9,3,2,1,5,14
[HotA] Broken Compass.h3m,Broken Compass,HotA,9,1.8.0,108,True,,,1,unknown,3052,template-presence,699,10,25.9,846,0,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; risk/reward encounters,9,2,84,39,14,53,5,0,10,25
[HotA] Captive.h3m,Captive,HotA,9,1.8.0,36,True,,,1,unknown,533,template-presence,273,4,10.5,9,23,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,2,3,26,15,20,8,1,2,4,7
[HotA] Carnival of the Abyss.h3m,Carnival of the Abyss,HotA,9,1.8.0,72,True,,,4,unknown,3381,template-presence,719,10,29.2,311,0,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,3,9,95,20,38,17,15,5,26,12
[HotA] Carpe Jugulum.h3m,Carpe Jugulum,HotA,9,1.8.0,72,False,,,1,unknown,882,template-presence,253,4,63.3,328,2,meaningful naval space; travel-network routing; risk/reward encounters,1,0,27,16,3,4,0,0,2,5
[HotA] Challenge.h3m,Challenge,HotA,9,1.8.0,72,True,,,1,unknown,1651,template-presence,555,10,33.6,127,184,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,2,1,21,20,5,12,1,1,9,13
[HotA] Claws.h3m,Claws,HotA,9,1.8.0,72,False,,,1,unknown,782,template-presence,290,6,60.2,138,66,meaningful naval space; quest-gated progression; risk/reward encounters,1,1,7,17,7,5,9,0,0,10
[HotA] Daggerwin Valley.h3m,Daggerwin valley,HotA,9,1.8.0,180,True,,,2,unknown,21969,template-presence,1259,11,13.2,3211,2488,two-layer exploration; quest-gated progression; travel-network routing; risk/reward encounters,10,0,23,42,24,56,22,0,46,34
[HotA] Dead Man's Tales.h3m,Dead Man's Tales,HotA,9,1.8.0,144,True,,,1,unknown,7770,template-presence,1088,10,23.8,702,17,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,9,10,104,36,17,55,14,4,33,30
[HotA] Divide et impera Allied.h3m,Divide et Impera! (Allies),HotA,9,1.8.0,108,True,,,1,unknown,3263,template-presence,710,9,24.6,12,48,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,6,0,106,25,59,16,3,1,4,20
[HotA] Divide et impera.h3m,Divide et Impera!,HotA,9,1.8.0,108,True,,,1,unknown,3264,template-presence,710,9,24.6,12,48,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,6,0,106,25,59,16,3,1,4,20
[HotA] Face To Face.h3m,Face to Face,HotA,9,1.8.0,36,False,,,1,unknown,412,template-presence,120,1,0.0,86,147,risk/reward encounters,1,0,5,16,4,0,0,0,0,7
[HotA] Fiery Riches.h3m,Fiery Riches,HotA,9,1.8.0,108,True,,,3,unknown,6876,template-presence,1130,12,14.0,795,345,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,9,8,116,26,76,37,15,4,40,26
[HotA] Fortune Favors Fools.h3m,Fortune Favors Fools,HotA,9,1.8.0,72,False,,,0,unknown,1419,template-presence,357,5,20.4,523,11,meaningful naval space; travel-network routing; risk/reward encounters,5,0,20,27,5,18,0,0,7,13
[HotA] From the Depths of Hell.h3m,From the Depths of Hell,HotA,9,1.8.0,36,True,,,3,unknown,798,template-presence,321,7,17.0,180,79,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,2,6,27,9,18,10,4,1,16,2
[HotA] Gambit.h3m,Gambit,HotA,9,1.8.0,72,True,,,1,unknown,2929,template-presence,411,9,45.6,357,709,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; risk/reward encounters,1,1,9,42,5,0,8,0,12,17
[HotA] Glorious Days.h3m,Glorious Days,HotA,9,1.8.0,108,True,,,1,unknown,2662,template-presence,592,10,29.0,9,40,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,2,0,11,37,11,8,8,2,3,11
[HotA] Gold Rush.h3m,Gold Rush,HotA,9,1.8.0,72,False,,,1,unknown,1684,template-presence,397,8,15.2,254,123,meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,1,0,5,8,12,2,8,2,7,13
[HotA] Headhunting.h3m,Headhunting,HotA,9,1.8.0,72,True,,,3,unknown,3755,template-presence,747,11,19.5,503,174,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,6,8,60,26,30,21,12,2,24,25
[HotA] Heritage of the Ancients.h3m,Heritage of the Ancients,HotA,9,1.8.0,36,True,,,2,unknown,1042,template-presence,355,6,10.3,72,158,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,3,3,22,12,11,9,5,1,16,4
[HotA] Ice Assault.h3m,Ice Assault,HotA,9,1.8.0,108,True,,,3,unknown,9967,template-presence,951,10,17.0,762,253,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,8,21,83,21,69,21,22,3,37,15
[HotA] In Defense.h3m,In Defence,HotA,9,1.8.0,72,True,,,3,unknown,1722,template-presence,543,8,15.2,183,12,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,3,1,33,23,33,19,6,2,11,14
[HotA] Invasion.h3m,Invasion,HotA,9,1.8.0,72,False,,,2,unknown,1405,template-presence,489,6,29.1,374,42,meaningful naval space; quest-gated progression; travel-network routing; risk/reward encounters,3,7,69,26,22,23,6,0,3,21
[HotA] Island of Dust.h3m,Island of Dust,HotA,9,1.8.0,108,False,,,1,unknown,2938,template-presence,580,8,34.8,407,159,meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,1,0,9,17,5,11,5,1,9,23
"[HotA] Just Win, Or Else.h3m","Just Win, Or Else",HotA,9,1.8.0,36,False,,,0,unknown,476,template-presence,185,5,0.0,22,126,risk/reward encounters,1,1,7,17,5,4,0,0,0,2
[HotA] Key To Victory - The Second Key.h3m,Key to Victory: The Second Key,HotA,9,1.8.0,72,False,,,0,unknown,1349,template-presence,319,4,1.2,175,157,quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,1,2,9,23,7,1,6,2,3,7
[HotA] King of the Hill.h3m,King of the Hill,HotA,9,1.8.0,36,True,,,0,unknown,883,template-presence,233,7,0.0,2,298,two-layer exploration; travel-network routing; risk/reward encounters,2,0,5,20,5,0,0,0,2,2
[HotA] Long Road.h3m,Long Road,HotA,9,1.8.0,36,True,,,0,unknown,955,template-presence,224,4,0.0,357,182,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,1,0,5,21,5,4,4,3,6,2
[HotA] Maelstrom.h3m,Maelstrom,HotA,9,1.8.0,108,True,,,2,unknown,3546,template-presence,634,11,18.4,1475,25,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,1,2,9,54,5,9,4,1,20,20
[HotA] Marsh.h3m,Marsh,HotA,9,1.8.0,72,False,,,0,unknown,1163,template-presence,286,3,22.1,199,155,meaningful naval space; quest-gated progression; travel-network routing; risk/reward encounters,1,0,5,14,5,1,4,0,4,8
[HotA] Mysterious Ways.h3m,Mysterious Ways,HotA,9,1.8.0,36,False,,,2,unknown,591,template-presence,262,5,5.0,178,15,quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,5,5,6,15,5,5,2,1,7,9
[HotA] Paradise Lost.h3m,Paradise Lost,HotA,9,1.8.0,72,True,,,2,unknown,3564,template-presence,1037,11,17.5,130,283,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,7,2,122,42,73,22,19,4,20,25
[HotA] Perfect Equality.h3m,Perfect Equality,HotA,9,1.8.0,72,True,,,1,unknown,2069,template-presence,410,4,0.0,329,332,two-layer exploration; quest-gated progression; travel-network routing; risk/reward encounters,1,0,5,23,4,0,2,0,2,11
[HotA] Pirate's Utopia.h3m,Pirate's Utopia,HotA,9,1.8.0,144,True,,,1,unknown,4106,template-presence,890,11,26.2,200,45,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,3,2,53,54,19,17,14,4,14,24
[HotA] Province.h3m,Province,HotA,9,1.8.0,36,True,,,1,unknown,749,template-presence,299,8,0.0,10,13,two-layer exploration; travel-network routing; scripted storytelling; risk/reward encounters,1,0,19,15,8,3,0,1,2,5
[HotA] Sails and Propellers.h3m,Sails and Propellers,HotA,9,1.8.0,72,False,,,1,unknown,1093,template-presence,307,5,52.5,244,46,meaningful naval space; travel-network routing; risk/reward encounters,1,0,6,24,6,1,0,0,5,11
[HotA] Scorched Earth.h3m,Scorched Earth,HotA,9,1.8.0,72,True,,,1,unknown,1836,template-presence,525,5,22.4,175,122,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,2,2,16,16,15,7,1,2,6,21
[HotA] Seven Days.h3m,Seven Days,HotA,9,1.8.0,72,False,,,1,unknown,1858,template-presence,416,9,0.9,631,143,quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,1,2,34,19,7,9,1,1,2,8
[HotA] Strait of Storms - Invasion.h3m,Strait of Storms — Invasion,HotA,9,1.8.0,72,True,,,1,unknown,1972,template-presence,560,6,56.3,205,69,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; risk/reward encounters,3,3,67,20,45,9,5,0,8,15
[HotA] Strait of Storms - Skirmish.h3m,Strait of Storms — Skirmish,HotA,9,1.8.0,72,False,,,1,unknown,852,template-presence,292,3,60.0,193,56,meaningful naval space; quest-gated progression; travel-network routing; risk/reward encounters,1,2,35,11,21,1,4,0,3,12
[HotA] Strife in the Woods.h3m,Strife in the Woods,HotA,9,1.8.0,72,False,,,1,unknown,2014,template-presence,466,6,0.0,838,0,risk/reward encounters,7,1,13,39,4,29,0,0,0,16
[HotA] Talent Shortage.h3m,Talent Shortage,HotA,9,1.8.0,72,True,,,1,unknown,940,template-presence,393,10,28.8,440,0,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling,3,4,64,2,20,0,5,2,7,0
[HotA] Terra Incognita.h3m,Terra Incognita,HotA,9,1.8.0,72,True,,,1,unknown,1614,template-presence,544,5,67.8,0,72,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,4,1,49,26,21,7,7,2,3,14
[HotA] The Alliance.h3m,The Alliance,HotA,9,1.8.0,144,True,,,1,unknown,6972,template-presence,620,8,15.8,363,219,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,5,3,16,37,16,33,11,1,7,20
[HotA] The Cataclysm (Allied).h3m,The Cataclysm (Allied),HotA,9,1.8.0,108,True,,,2,unknown,7429,template-presence,974,11,17.6,422,153,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,7,13,88,23,43,25,22,2,18,18
[HotA] The Cataclysm.h3m,The Cataclysm,HotA,9,1.8.0,108,True,,,2,unknown,7429,template-presence,974,11,17.6,422,153,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,7,13,88,23,43,25,22,2,18,18
[HotA] The Devil Is in the Detail.h3m,The Devil Is In The Detail,HotA,9,1.8.0,252,True,,,3,unknown,23803,template-presence,1290,12,15.2,968,3787,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,10,6,13,39,8,84,15,1,27,31
[HotA] The Great Wasteland.h3m,The Great Wasteland,HotA,9,1.8.0,72,True,,,2,unknown,3150,template-presence,647,10,11.8,60,85,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,1,0,27,37,13,2,9,4,8,21
[HotA] Treasures of the Pyramid.h3m,Treasures of the Pyramid,HotA,9,1.8.0,72,True,,,1,unknown,2740,template-presence,336,5,0.0,123,25,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,1,0,7,20,9,1,13,1,14,3
[HotA] Trial of Flame.h3m,Trial of Flame,HotA,9,1.8.0,36,True,,,1,unknown,481,template-presence,205,4,0.5,0,0,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,1,1,22,13,10,6,1,1,1,4
[HotA] Upper Kingdom.h3m,Upper Kingdom,HotA,9,1.8.0,36,True,,,2,unknown,620,template-presence,308,6,2.4,0,0,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,2,2,40,20,24,8,1,2,4,9
[HotA] Ville'de'Porte.h3m,Ville'de'Porte,HotA,9,1.8.0,36,True,,,3,unknown,1159,template-presence,423,9,9.8,244,0,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,2,11,25,7,13,0,18,3,24,2
[HotA] When Seas Were Deeper.h3m,When Seas Were Deeper,HotA,9,1.8.0,144,False,,,1,unknown,4621,template-presence,620,8,43.6,301,515,meaningful naval space; travel-network routing; risk/reward encounters,8,0,5,50,6,40,0,0,2,22
[HotA] With Sword and Fire.h3m,With Sword and Fire,HotA,9,1.8.0,36,False,,,2,unknown,456,template-presence,187,4,23.2,178,18,meaningful naval space; quest-gated progression; travel-network routing; risk/reward encounters,2,3,33,0,17,0,8,0,9,2
A Viking We Shall Go Allied.h3m,Viking We Shall Go! (Allies),SoD,,,144,False,5,6,1,standard conquest,3092,exact,550,6,52.8,1171,328,meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,35,0,78,422,56,90,10,9,18,16
A Viking We Shall Go.h3m,Viking We Shall Go!,SoD,,,144,False,5,6,1,standard conquest,3092,exact,550,6,52.7,1171,328,meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,35,0,78,422,56,90,10,9,18,16
A Warm and Familiar Place.h3m,A Warm and Familiar Place,SoD,,,36,True,2,2,1,assemble creatures,730,exact,153,4,0.0,0,0,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; special objective,2,2,21,99,9,12,4,2,2,0
Adventures of Jared Haret.h3m,Adventures of Jared Haret,SoD,,,36,True,1,3,4,capture a town,514,exact,212,5,15.6,0,55,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; special objective; risk/reward encounters,4,6,24,81,10,10,4,12,7,2
All for One.h3m,All for One,RoE,,,72,True,2,3,1,standard conquest,2027,exact,499,10,10.5,277,374,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,11,1,81,221,49,18,10,2,21,16
And One for All.h3m,And One For All,SoD,,,72,False,4,4,1,standard conquest,687,exact,170,6,31.6,0,0,meaningful naval space; travel-network routing; scripted storytelling; risk/reward encounters,16,0,69,137,28,0,0,5,6,12
Arrogance Allied.h3m,Arrogance (Allies),SoD,,,36,True,4,4,1,standard conquest,605,exact,192,5,21.3,0,98,two-layer exploration; meaningful naval space; travel-network routing; scripted storytelling; risk/reward encounters,8,0,28,140,8,0,0,0,8,10
Arrogance.h3m,Arrogance,SoD,,,36,True,4,4,1,standard conquest,605,exact,192,5,21.3,0,98,two-layer exploration; meaningful naval space; travel-network routing; scripted storytelling; risk/reward encounters,8,0,28,140,8,0,0,0,8,10
Ascension.h3m,Ascension,RoE,,,72,False,3,3,1,standard conquest,1246,exact,361,5,51.5,190,58,meaningful naval space; travel-network routing; scripted storytelling; risk/reward encounters,4,0,36,82,15,8,0,1,7,4
Back For Revenge - Allied.h3m,Back for Revenge (Allies),SoD,,,144,False,6,8,4,beatmonster,5319,exact,661,8,33.5,934,410,meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; special objective; risk/reward encounters,23,0,196,562,30,60,13,13,28,26
Back For Revenge.h3m,Back for Revenge,SoD,,,144,False,6,8,4,beatmonster,5319,exact,661,8,33.5,934,410,meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; special objective; risk/reward encounters,23,0,196,562,30,60,13,13,28,26
Barbarian Breakout.h3m,Barbarian Breakout,RoE,,,36,True,2,4,2,standard conquest,733,exact,289,7,19.3,0,72,two-layer exploration; meaningful naval space; travel-network routing; scripted storytelling; risk/reward encounters,4,2,24,123,11,7,0,0,8,2
Barbarian BreakoutA.h3m,Barbarian Breakout (Allies),RoE,,,36,True,2,4,2,standard conquest,733,exact,289,7,19.3,0,72,two-layer exploration; meaningful naval space; travel-network routing; scripted storytelling; risk/reward encounters,4,2,24,123,11,7,0,0,8,2
Battle of the Sexes Allied.h3m,Battle of the Sexes (Allies),SoD,,,108,False,4,4,1,standard conquest,3298,exact,420,6,0.0,206,150,quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,8,0,51,393,11,0,10,0,12,15
Battle of the Sexes.h3m,Battle of the Sexes,SoD,,,108,False,4,4,1,standard conquest,3297,exact,419,6,0.0,206,150,quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,8,0,50,393,11,0,10,0,12,15
Brave New World(Allies).h3m,Brave New World (Allies),AB,,,108,False,8,8,2,standard conquest,3252,exact,544,8,31.2,757,156,meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,11,8,162,446,30,3,9,3,16,49
Brave New World.h3m,Brave New World,AB,,,108,False,8,8,2,standard conquest,3253,exact,544,8,31.2,757,156,meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,11,8,163,446,30,3,9,3,16,49
Buried Treasure.h3m,Buried Treasure,RoE,,,72,True,4,4,1,acquire an artifact,1930,exact,426,8,17.2,95,141,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; special objective; risk/reward encounters,10,0,104,315,35,16,4,0,26,13
Carpe Diem - Allied.h3m,Carpe Diem (Allies),SoD,,,72,True,6,6,1,standard conquest,2239,exact,436,7,30.8,667,155,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,16,0,101,350,31,4,10,0,22,22
Carpe Diem.h3m,Carpe Diem,SoD,,,72,True,6,6,1,standard conquest,2239,exact,436,7,30.8,667,155,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,16,0,101,350,31,4,10,0,22,22
Caught in the Middle.h3m,Caught in the Middle (Allies),SoD,,,72,True,3,5,3,standard conquest,1517,exact,381,6,7.8,363,65,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,10,7,73,258,14,15,10,0,22,14
Chasing a Dream.h3m,Chasing A Dream,SoD,,,36,True,3,3,2,standard conquest,462,exact,225,8,0.0,227,0,two-layer exploration; travel-network routing; scripted storytelling; risk/reward encounters,3,0,30,54,5,0,0,0,6,3
Crimson and Clover.h3m,Crimson and Clover,RoE,,,72,True,4,4,1,standard conquest,1563,exact,376,8,37.0,119,24,two-layer exploration; meaningful naval space; travel-network routing; scripted storytelling; risk/reward encounters,6,0,38,93,21,0,0,0,8,6
Crimson and CloverA.h3m,Crimson and Clover (Allies),RoE,,,72,True,4,4,1,standard conquest,1563,exact,376,8,37.0,119,24,two-layer exploration; meaningful naval space; travel-network routing; scripted storytelling; risk/reward encounters,6,0,38,93,21,0,0,0,8,6
Darwin's Prize(Allies).h3m,Darwin's Prize(Allies),AB,,,72,True,4,4,1,standard conquest,1860,exact,245,4,3.9,0,177,two-layer exploration; risk/reward encounters,5,0,29,331,12,0,0,0,0,16
Darwin's Prize.h3m,Darwin's Prize,AB,,,72,False,4,4,1,standard conquest,1854,exact,245,3,7.7,0,177,risk/reward encounters,5,0,28,331,12,0,0,0,0,16
Dawn of War.h3m,Dawn of War,AB,,,72,False,4,6,1,standard conquest,1593,exact,357,5,21.4,0,80,meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,7,0,71,260,13,4,2,1,7,5
Dead and Buried.h3m,Dead and Buried,RoE,,,36,True,1,3,2,standard conquest,755,exact,289,8,15.4,0,114,two-layer exploration; meaningful naval space; travel-network routing; risk/reward encounters,3,2,18,36,6,3,0,0,8,3
Deluge.h3m,Deluge,SoD,,,36,True,2,3,2,standard conquest,501,exact,174,5,9.0,67,0,two-layer exploration; travel-network routing; scripted storytelling; risk/reward encounters,5,0,29,128,7,3,0,0,6,7
Divided Loyalties.h3m,Divided Loyalties,RoE,,,72,True,4,4,1,standard conquest,3752,exact,516,7,6.6,278,61,two-layer exploration; travel-network routing; scripted storytelling; risk/reward encounters,8,0,131,451,50,16,0,7,12,12
Divided LoyaltiesA.h3m,Divided Loyalties (Allies),RoE,,,72,True,4,4,1,standard conquest,3752,exact,516,7,6.6,278,61,two-layer exploration; travel-network routing; scripted storytelling; risk/reward encounters,8,0,131,451,50,16,0,7,12,12
Dragon Orb.h3m,Dragon Orb,RoE,,,72,True,2,4,1,acquire an artifact,2924,exact,388,9,0.2,0,64,two-layer exploration; travel-network routing; scripted storytelling; special objective; risk/reward encounters,5,2,64,300,29,19,0,2,19,15
Dragon Pass (Allies).h3m,Dragon Pass (Allies),AB,,,72,True,4,4,1,standard conquest,2463,exact,438,7,0.0,113,106,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,4,0,63,317,41,4,10,4,12,5
Dragon Pass.h3m,Dragon Pass,AB,,,72,True,4,4,1,standard conquest,2467,exact,438,7,0.0,115,106,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,4,0,63,321,41,4,10,4,12,5
Dungeon Keeper.h3m,Dungeon Keeper,AB,,,36,True,1,2,1,standard conquest,954,exact,337,4,25.0,0,49,two-layer exploration; meaningful naval space; travel-network routing; scripted storytelling; risk/reward encounters,2,0,26,156,12,0,0,0,3,3
Dwarven Gold.h3m,Dwarven Gold,SoD,,,36,True,3,3,0,accumulate resources,990,exact,288,4,0.2,0,83,two-layer exploration; travel-network routing; scripted storytelling; special objective; risk/reward encounters,3,0,37,152,10,7,0,7,8,2
Dwarven Tunnels(Allies).h3m,Dwarven Tunnels (Allies),AB,,,72,True,4,4,1,standard conquest,2508,exact,391,9,0.0,526,75,two-layer exploration; travel-network routing; risk/reward encounters,15,0,85,593,18,28,0,0,13,13
Dwarven Tunnels.h3m,Dwarven Tunnels,AB,,,72,True,4,4,1,standard conquest,2508,exact,391,9,0.0,526,75,two-layer exploration; travel-network routing; risk/reward encounters,15,0,85,593,18,28,0,0,13,13
Elbow Room(Allies).h3m,Elbow Room (Allies),AB,,,36,False,6,6,2,standard conquest,473,exact,121,1,0.0,0,51,quest-gated progression; scripted storytelling; risk/reward encounters,8,0,1,51,10,0,4,0,0,1
Elbow Room.h3m,Elbow Room,AB,,,36,False,6,6,2,standard conquest,474,exact,121,1,0.0,0,51,quest-gated progression; scripted storytelling; risk/reward encounters,8,0,1,51,10,0,4,0,0,1
Emerald Isles.h3m,Emerald Isles,RoE,,,72,False,4,4,1,standard conquest,904,exact,235,5,45.0,233,0,meaningful naval space; travel-network routing; scripted storytelling; risk/reward encounters,4,1,37,107,13,3,0,11,5,5
Emerald IslesA.h3m,Emerald Isles (Allies),RoE,,,72,False,4,4,1,standard conquest,904,exact,235,5,45.0,233,0,meaningful naval space; travel-network routing; scripted storytelling; risk/reward encounters,4,1,37,107,13,3,0,11,5,5
Faeries.h3m,Faeries!,AB,,,72,True,1,2,0,standard conquest,2072,exact,634,10,7.9,349,151,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,7,1,32,188,28,27,9,24,21,8
For Sale.h3m,For Sale,SoD,,,36,False,1,3,2,capture a town,514,exact,246,5,19.6,29,0,meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; special objective; risk/reward encounters,4,3,7,92,0,0,5,2,5,10
Fort Noxis.h3m,Fort Noxis,AB,,,36,True,1,2,1,standard conquest,1011,exact,330,6,8.3,169,41,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,5,4,34,143,14,0,4,0,4,6
Free for All.h3m,Free for All,RoE,,,108,True,8,8,1,standard conquest,4198,exact,572,9,5.7,0,653,two-layer exploration; travel-network routing; scripted storytelling; risk/reward encounters,20,0,128,353,48,24,0,0,10,7
Freedom.h3m,Freedom,AB,,,36,True,2,3,1,standard conquest,704,exact,195,5,1.6,40,91,two-layer exploration; quest-gated progression; travel-network routing; risk/reward encounters,4,2,46,133,10,5,3,0,18,2
